Source,A1-2,A10,A11,A19DI,A19M,A23a,A23b,A23c,A24d,A32,A32V,A3a,A3b,A45,A46D,A47L,A4ab,A4c,A6DC,A6DR,A6M,A6Va,A8C,A8aD,A8aV,A8b,A9,AIP,AuA1,AuCM,AuCPB,AuML,AuRT,LIP,MIP,MST,OPt,PE,PEC,PF,PFG,PG,PGM,PGa-IPa,S2E,TE3,TEO,TPO,V1,V2,V3A,V4,V4T,V5,V6
A32V,0.0,0.0346915141279,0.026374015399599996,0.0,0.0,0.00029679755438800004,1.26877791311e-05,0.0,3.66622671946e-05,0.0696826758148,0.0,0.0,0.0,0.0,0.00020822054720400003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000281918775748,0.00785594492012,0.0,0.0,0.0,0.0,7.56944970101e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011501413715399999,0.0,0.00026561282630500004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3a,0.122431425022,0.0,0.0,0.0,0.0,0.000178078532633,0.0017346642027,0.204683205963,0.039206855125,0.0,0.0,0.0,0.211522009897,0.00016505054672999998,0.0,3.80581427482e-05,0.148340861244,0.20815632965199998,0.007012854876689999,0.000314714875995,0.006817595479699999,0.103420504443,0.00536908540581,0.0,0.00021378941742400002,0.00106464930927,0.0,2.05372545798e-05,0.0,0.000314762354422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.322038724374,4.01300212689e-05,0.053066850448000004,0.0005636978579480001,0.000635276121979,0.0,0.00021963540522700002,0.0276179020114,0.0,0.0,6.50638949371e-05,0.0,0.0,0.000135391280802,0.0,0.0,0.0,0.0
A3b,0.238523049476,0.0,4.42517036906e-05,0.0,0.0,0.0,0.000635632676964,0.04235214395959999,0.0113033833718,0.0,0.0,0.286571170004,0.0,8.252527336499999e-05,0.0,5.41418516513e-05,0.09742128859060001,0.0101954120646,0.00486943864908,0.0,0.0010050249612500001,0.0343913817304,0.0005042170883759999,0.0,0.00023259608012699999,0.000531869628117,0.0,0.0,0.0,0.0013967579477499998,0.0,0.0,1.94764724213e-05,0.0,0.0,0.0,0.000232650918751,0.08741457858769999,0.0,0.0169997702734,0.0101465614431,0.00010807655230299999,0.00244824594025,0.0,0.0523157410387,0.0,0.0,0.0,0.0,0.0,0.000135391280802,0.0,0.0,0.0,0.0
A45,0.0,0.0013960460797199999,0.000354013629525,0.00474996701412,0.0,0.0006529546196540001,0.0017545976631800002,0.0,0.00025663587036200004,0.0,0.0,0.0,0.00151761918863,0.0,0.0,0.037678224602900004,0.0,0.00042480883602399996,0.0,0.0026668487206799995,0.0,0.024529480237,0.0217310050677,0.000283929585463,0.12971293665,0.00019447027964400004,8.82690440463e-05,0.018409031237599998,0.0,0.000157381177211,0.0,2.52314990034e-05,0.0,0.0,0.0045977011494300005,0.00019306261664200002,0.00022620519361400002,0.0,4.01300212689e-05,0.0024504173367,0.0,0.00178796506244,0.0004958472790380001,0.0006589062156819999,0.0008544818725389999,0.000130095403296,0.00204733437065,0.00022529947068500002,0.000797166074605,0.000970521679379,0.00256060324508,0.00777233759279,0.00818043315686,0.00182829219798,0.00143262400606
A46D,0.0,0.10001282680700001,0.00756704133109,0.0,0.0,0.0030071934915199996,0.0041263552742,0.0,0.00102654348145,0.0,0.000150934283213,0.0,0.0,8.252527336499999e-05,0.0,0.00643750392355,0.0,0.0,0.0,0.0054243165358799994,0.0,0.000636132315522,2.29189585625e-05,0.0841021901505,0.000906833454441,0.010186960591799998,0.010062671021299999,5.58031595029e-05,0.0,0.000314762354422,0.0,0.00388919493144,0.0,0.0,0.0,6.43542055473e-05,0.0,0.0,0.0,0.0,0.0,8.0642797933e-05,0.00039175922938699994,0.00186690094443,0.00012113137589,0.0032690228964699997,0.0,0.009176821815860001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A47L,3.18582943069e-05,0.0379035819526,0.0535003097619,0.0013194352817,0.00118063754427,0.0123298687121,0.0092787800278,0.0,0.00010998680158399998,0.000214408233276,0.000150934283213,0.0,0.00012338367387200002,0.16158448524900001,0.0255864101706,0.0,0.0,0.00042480883602399996,0.0,0.0203108182036,0.0006063756063759999,0.0232042951715,0.034882354355699995,0.0339361143212,0.25179566423099997,0.00690127856764,0.0170359255009,0.0305544026225,0.0,0.00170976729401,0.0,0.00133080298321,0.0,0.000619688385269,0.00383141762452,0.00141579252204,0.00140040426721,0.0,0.0014446807656800001,0.00585802894555,0.0015235608375200002,0.00530123825055,0.007622877760880001,0.021853722820099997,0.00914870000035,0.021338750923700002,0.004299402178359999,0.00305749413868,0.00117924528302,0.00062526842496,0.00188956238615,0.00803047966148,0.012540407137400001,0.0008881674220539999,0.000316706254949
A4ab,0.16477109815500002,0.0,0.0,0.0,0.000590318772137,0.0012465497284300001,0.00230544706529,0.243383653955,0.504534160279,0.000214408233276,0.0,0.294226628296,0.0358415839366,0.000288838456777,4.16441094407e-05,0.0,0.0,0.0152931180969,0.285237519657,0.00212375248711,0.14307052356,0.0094623882541,0.004819030400310001,0.0011357183418499999,0.000119055394682,0.0005317493816750001,0.0,4.10745091596e-05,0.0,3.93452943028e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.201309794989,4.01300212689e-05,0.0030247338999899996,0.0005636978579480001,0.000156056363887,0.0,0.00010981770261399999,0.025044180115099995,0.0,0.0,0.00010002000400099999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4c,0.00159291471535,0.0,0.0,0.0,0.0,0.0,0.000255206005375,0.0005646952527949999,0.0050301477207799995,0.0,0.0,0.00146970405505,0.043907717069699995,0.000536414276872,0.0,0.000185117621134,0.00443327599604,0.0,0.0117142910002,0.00136274469988,0.00434501437487,0.11035470159199999,0.00880151881308,0.0,2.54224358804e-05,0.000156015090914,0.0,8.21490183192e-05,0.0,1.96726471514e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018607856650599996,0.0,0.000146876577776,0.0,0.0,0.0047587104707299994,0.0,0.0,5.00100020004e-05,0.0,0.0,0.000149120190874,0.0,0.0,0.0,0.0
A6DC,0.020962757654,0.0,0.0,0.00092360469719,0.0,0.00281957676669,0.0148013410418,0.0014305613070799998,0.0231276097236,0.0,0.0,0.006593142924810001,0.00249745607328,0.00940788116361,4.16441094407e-05,0.0021773876605700004,0.110785318046,0.07774001699239999,0.0,0.135723105298,0.161641557279,0.0321447977049,0.15402250265999998,0.00965360590574,0.010949261234699999,0.00140545872172,0.0,0.00300777349426,0.0,0.0,0.0,0.0,0.0,0.00117370892019,0.0145593869732,0.00019306261664200002,7.54017312047e-05,0.00797266514806,0.00971146514708,0.0173443602113,0.0028184892897399998,0.00251949915778,0.0009297136481960001,0.0,0.00721275093885,2.39612785738e-05,0.0,0.000160235575748,0.0,0.0,0.00425204534514,0.000556199103309,0.00022143489813999996,0.0,0.000381170192491
A6DR,0.000159291471535,0.0022430494251700003,0.0019028232587,0.00105554822536,0.005312868949229999,0.0264705970914,0.0378899162964,0.0,0.000403284939141,0.0,0.0,6.68047297749e-05,0.0,0.018898287600599997,0.012214097450299999,0.0077038483402800005,0.00153858269596,0.0008496176720479999,0.07279837976669999,0.0,0.0923649849872,0.00319226317919,0.09366756689330001,0.0580070626859,0.0272116239213,0.0585844135452,0.0009709594845089998,0.00939049669702,0.0,0.00011803588290799998,0.0,0.00037711702167000005,0.0,0.0140845070423,0.0,0.000450479438831,0.00101135475567,0.000284738041002,0.00943055499819,7.6575541772e-05,0.0032757540603400004,0.00702913710603,0.0230307014926,0.00032945310784099997,0.00024027262739800001,0.00047701647875099997,0.0,8.01177878738e-05,0.0,0.0,0.000676956404008,0.00016014092401299998,0.00022143489813999996,0.0,0.000762340384982
